name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Just Bake,No,No,3,8,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,No,No,3,0,Dessert Parlor,Mithai,150,Delivery,Banashankari
Cake Bite,No,No,3,0,Bakery,Bakery,300,Delivery,Banashankari
Aarush's Food Plaza,No,No,3,0,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Wood Stove,No,No,3,0,"Takeaway, Delivery",South Indian,150,Delivery,Banashankari
Kulfi & More,No,No,3,0,Dessert Parlor,others,150,Delivery,Banashankari
Kannadigas Karavali,No,No,3,0,Quick Bites,others,250,Delivery,Banashankari
K27 - The Pub,No,No,3,30,others,"Chinese, North Indian",1000,Delivery,Banashankari
Bengaluru Coffee House,Yes,No,4,201,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
New Mangalore Lunch Home,No,No,3,7,Quick Bites,others,200,Delivery,Banashankari
Coffee Bytes,No,No,3,6,Quick Bites,others,100,Delivery,Banashankari
Parjanya Chat Zone,No,No,3,17,Quick Bites,others,200,Delivery,Banashankari
Kwality Wall's Swirl's Happiness Station,No,No,2,25,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
Soms Kitchen & Bakes,No,No,3,0,Delivery,others,400,Delivery,Banashankari
Banashankari Nati Style,No,No,3,0,Quick Bites,others,350,Delivery,Banashankari
Ruchi Maayaka,No,No,3,8,Delivery,South Indian,100,Delivery,Banashankari
Mohitesh Hut Roll,No,No,3,0,Quick Bites,others,150,Delivery,Banashankari
Sri Basaveshwar Jolada Rotti Oota,No,No,3,0,Quick Bites,South Indian,150,Delivery,Banashankari
Roll Magic Fast Food,No,No,3,0,"Takeaway, Delivery",others,200,Delivery,Banashankari
Foodlieious Multi Cuisine,No,No,3,0,Quick Bites,North Indian,100,Delivery,Banashankari
Thanishka Nati And Karavali Style,No,No,3,0,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
Swathi Cool Point,No,No,3,0,others,others,200,Delivery,Banashankari
Kaumudis Juoice,No,No,3,0,others,others,150,Delivery,Banashankari
Amma - Manae,No,No,3,0,"Takeaway, Delivery",South Indian,400,Delivery,Banashankari
Sri Sai Tiffannies,No,No,3,0,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Hotel Andhra Speices,No,No,3,0,Quick Bites,Andhra,250,Delivery,Banashankari
Sri Murari Family Restaurant,No,No,3,0,Quick Bites,Biryani,250,Delivery,Banashankari
Aramane Donne Biriyani,No,No,3,0,Quick Bites,"South Indian, Biryani",150,Delivery,Banashankari
Darkolates,No,No,3,0,others,Desserts,200,Delivery,Banashankari
Swaada Healthy Kitchen,No,No,3,0,others,others,350,Delivery,Banashankari
Gawdaru Mane Beriyani,No,No,3,0,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
Melting Melodies,No,No,3,0,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery,Banashankari
New Indraprasta,No,No,3,0,Quick Bites,others,150,Delivery,Banashankari
Anna Kuteera,Yes,No,4,771,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
Darbar,No,No,3,98,others,"North Indian, Chinese",800,Delivery,Banashankari
Vijayalakshmi,Yes,No,3,47,Quick Bites,South Indian,200,Delivery,Banashankari
Sri Udupi Food Hub,Yes,Yes,4,175,Casual Dining,others,500,Delivery,Banashankari
Udupi Upahar,Yes,No,3,58,Quick Bites,others,300,Delivery,Banashankari
House Of Kebabs,Yes,No,3,540,Casual Dining,others,650,Delivery,Banashankari
Roll N Rock,Yes,No,3,124,Quick Bites,others,400,Delivery,Banashankari
BOX8- Desi Meals,Yes,No,4,340,"Takeaway, Delivery",others,500,Delivery,Banashankari
KFC,Yes,No,3,505,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
Bitez,No,No,3,0,Quick Bites,Fast Food,100,Delivery,Banashankari
Roll Over,Yes,No,4,438,Dessert Parlor,others,500,Delivery,Banashankari
Imperial Restaurant,Yes,No,3,264,Casual Dining,others,750,Delivery,Banashankari
Lassi Shop,Yes,No,3,169,others,others,150,Delivery,Banashankari
The Fortuna,Yes,No,3,67,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Wahab,Yes,No,3,97,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Al Diwan Biryanis And More,Yes,No,3,12,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
New Gowda's Fried Chicken,Yes,No,3,12,Quick Bites,Biryani,300,Delivery,Banashankari
Canton,Yes,No,3,195,Casual Dining,others,800,Delivery,Banashankari
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3,13,others,others,300,Delivery,Banashankari
The Blue Wagon - Kitchen,Yes,No,4,228,Cafe,others,400,Delivery,Banashankari
HOT COFFEE,Yes,No,4,70,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Patio 805,Yes,Yes,4,364,Casual Dining,others,1200,Delivery,Banashankari
Lassi Corner,Yes,No,3,107,others,others,150,Delivery,Banashankari
Sagar Deluxe,Yes,No,3,167,Quick Bites,others,300,Delivery,Banashankari
Kanti Sweets,Yes,No,4,115,others,"Mithai, Street Food",400,Delivery,Banashankari
Vegetalia,Yes,No,3,27,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
Aramane Donne Biryani,Yes,No,3,57,Quick Bites,Biryani,200,Delivery,Banashankari
Ande Ka Funda,Yes,No,3,120,Quick Bites,others,250,Delivery,Banashankari
Cake Ghar,Yes,No,3,15,Bakery,Bakery,400,Delivery,Banashankari
Energy Addaa,Yes,No,4,64,Quick Bites,others,500,Delivery,Banashankari
Bhattara Bhojana,Yes,No,3,66,Quick Bites,South Indian,150,Delivery,Banashankari
Tandoori Knight,Yes,No,3,290,Quick Bites,others,450,Delivery,Banashankari
Dev Sagar - Food Street,Yes,No,4,233,Quick Bites,Street Food,200,Delivery,Banashankari
Mitraa Da Pizza,Yes,No,3,115,Quick Bites,others,250,Delivery,Banashankari
Paradise Premium,Yes,No,3,119,Casual Dining,others,700,Delivery,Banashankari
Grazers,Yes,Yes,3,291,Cafe,others,650,Delivery,Banashankari
Shakes Theory,Yes,No,4,155,others,others,300,Delivery,Banashankari
Italy,Yes,No,4,305,Casual Dining,others,700,Delivery,Banashankari
Chilli Flakes,Yes,No,3,46,Quick Bites,others,500,Delivery,Banashankari
Calcutta Cafe,Yes,No,3,45,Quick Bites,others,350,Delivery,Banashankari
Old Mumbai Ice Cream,Yes,No,3,38,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
Donne Biriyani House,Yes,No,3,441,Quick Bites,others,400,Delivery,Banashankari
By 2 Coffee,Yes,No,3,25,Quick Bites,South Indian,100,Delivery,Banashankari
Kedia's Fun Food,Yes,No,4,630,Quick Bites,others,200,Delivery,Banashankari
Davangere Butter Dosa Hotel,Yes,No,3,25,Quick Bites,South Indian,150,Delivery,Banashankari
Just Shawarma,Yes,No,3,160,Quick Bites,Arabian,300,Delivery,Banashankari
